years,Age group,Cause of death (ICD-10),VALUE
2000,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],16774
2001,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],17208
2002,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],17799
2003,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],17969
2004,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],18234
2005,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],18503
2006,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],18800
2007,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],19131
2008,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],19320
2009,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],19712
2010,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],19889
2011,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],19841
2012,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],20267
2013,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],20266
2014,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],20952
2015,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],20693
2016,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],20673
2017,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],20780
2018,"Total, all ages",Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],20532
2000,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],147
2001,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],150
2002,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],129
2003,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],134
2004,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],127
2005,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],146
2006,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],136
2007,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],159
2008,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],143
2009,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],147
2010,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],183
2011,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],165
2012,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],152
2013,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],173
2014,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],180
2015,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],198
2016,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],172
2017,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],183
2018,"Total, all ages",Malignant neoplasms of bone and articular cartilage [C40-C41],182
2000,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],905
2001,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],894
2002,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],978
2003,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],969
2004,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1012
2005,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1018
2006,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1129
2007,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1169
2008,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1211
2009,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1389
2010,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1359
2011,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1336
2012,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1460
2013,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1487
2014,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1564
2015,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1571
2016,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1555
2017,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1602
2018,"Total, all ages",Melanoma and other malignant neoplasms of skin [C43-C44],1578
2000,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],741
2001,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],724
2002,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],772
2003,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],809
2004,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],856
2005,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],875
2006,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],903
2007,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],931
2008,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],971
2009,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],984
2010,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],1046
2011,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],995
2012,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],1131
2013,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],1140
2014,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],1101
2015,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],1195
2016,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],1203
2017,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],1175
2018,"Total, all ages",Malignant neoplasms of mesothelial and soft tissue [C45-C49],1222
2000,"Total, all ages",Malignant neoplasm of breast [C50],4901
2001,"Total, all ages",Malignant neoplasm of breast [C50],5017
2002,"Total, all ages",Malignant neoplasm of breast [C50],5017
2003,"Total, all ages",Malignant neoplasm of breast [C50],5097
2004,"Total, all ages",Malignant neoplasm of breast [C50],4998
2005,"Total, all ages",Malignant neoplasm of breast [C50],5045
2006,"Total, all ages",Malignant neoplasm of breast [C50],4897
2007,"Total, all ages",Malignant neoplasm of breast [C50],5105
2008,"Total, all ages",Malignant neoplasm of breast [C50],5006
2009,"Total, all ages",Malignant neoplasm of breast [C50],4990
2010,"Total, all ages",Malignant neoplasm of breast [C50],5024
2011,"Total, all ages",Malignant neoplasm of breast [C50],5014
2012,"Total, all ages",Malignant neoplasm of breast [C50],5019
2013,"Total, all ages",Malignant neoplasm of breast [C50],5053
2014,"Total, all ages",Malignant neoplasm of breast [C50],5180
2015,"Total, all ages",Malignant neoplasm of breast [C50],5187
2016,"Total, all ages",Malignant neoplasm of breast [C50],5351
2017,"Total, all ages",Malignant neoplasm of breast [C50],5378
2018,"Total, all ages",Malignant neoplasm of breast [C50],5327
2000,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],2603
2001,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],2681
2002,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],2797
2003,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],2852
2004,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],2882
2005,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],2852
2006,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],2903
2007,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],2941
2008,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],2994
2009,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],3070
2010,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],3166
2011,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],3243
2012,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],3319
2013,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],3435
2014,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],3500
2015,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],3767
2016,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],3727
2017,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],3836
2018,"Total, all ages",Malignant neoplasms of female genital organs [C51-C58],3764
2000,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],3791
2001,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],3884
2002,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],3779
2003,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],3736
2004,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],3756
2005,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],3659
2006,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],3633
2007,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],3697
2008,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],3801
2009,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],3803
2010,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],3923
2011,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],3803
2012,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],3809
2013,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],4033
2014,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],4223
2015,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],4125
2016,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],4339
2017,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],4423
2018,"Total, all ages",Malignant neoplasms of male genital organs [C60-C63],4415
2000,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],2847
2001,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],2888
2002,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],2965
2003,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],3064
2004,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],3207
2005,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],3188
2006,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],3281
2007,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],3380
2008,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],3667
2009,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],3633
2010,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],3727
2011,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],3639
2012,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],3899
2013,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],4105
2014,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],4230
2015,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],4277
2016,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],4482
2017,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],4624
2018,"Total, all ages",Malignant neoplasms of urinary tract [C64-C68],4633
2000,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",1565
2001,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",1580
2002,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",1557
2003,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",1621
2004,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",1636
2005,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",1609
2006,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",1700
2007,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",1786
2008,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",1908
2009,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",1897
2010,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",1940
2011,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",2003
2012,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",2032
2013,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",2168
2014,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",2231
2015,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",2275
2016,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",2278
2017,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",2368
2018,"Total, all ages","Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",2278
2000,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],202
2001,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],215
2002,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],221
2003,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],226
2004,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],251
2005,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],224
2006,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],246
2007,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],265
2008,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],247
2009,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],274
2010,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],286
2011,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],272
2012,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],282
2013,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],302
2014,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],352
2015,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],320
2016,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],329
2017,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],331
2018,"Total, all ages",Malignant neoplasms of thyroid and other endocrine glands [C73-C75],354
2000,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3949
2001,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3989
2002,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",4043
2003,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3934
2004,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3918
2005,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3913
2006,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",4020
2007,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3970
2008,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3906
2009,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3508
2010,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3512
2011,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3597
2012,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3596
2013,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3410
2014,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3463
2015,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3389
2016,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3749
2017,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3637
2018,"Total, all ages","Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3649
2000,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",5823
2001,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",5925
2002,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",5958
2003,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",6243
2004,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",6287
2005,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",6166
2006,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",6122
2007,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",6375
2008,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",6278
2009,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",6558
2010,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",6327
2011,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",6654
2012,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",6891
2013,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",6979
2014,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",7143
2015,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",7096
2016,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",7286
2017,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",7583
2018,"Total, all ages","Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",7448
2000,Under 1 year,"Total, all causes of death [A00-Y89]",1737
2001,Under 1 year,"Total, all causes of death [A00-Y89]",1739
2002,Under 1 year,"Total, all causes of death [A00-Y89]",1762
2003,Under 1 year,"Total, all causes of death [A00-Y89]",1765
2004,Under 1 year,"Total, all causes of death [A00-Y89]",1775
2005,Under 1 year,"Total, all causes of death [A00-Y89]",1863
2006,Under 1 year,"Total, all causes of death [A00-Y89]",1771
2007,Under 1 year,"Total, all causes of death [A00-Y89]",1881
2008,Under 1 year,"Total, all causes of death [A00-Y89]",1911
2009,Under 1 year,"Total, all causes of death [A00-Y89]",1872
2010,Under 1 year,"Total, all causes of death [A00-Y89]",1902
2011,Under 1 year,"Total, all causes of death [A00-Y89]",1849
2012,Under 1 year,"Total, all causes of death [A00-Y89]",1818
2013,Under 1 year,"Total, all causes of death [A00-Y89]",1884
2014,Under 1 year,"Total, all causes of death [A00-Y89]",1794
2015,Under 1 year,"Total, all causes of death [A00-Y89]",1737
2016,Under 1 year,"Total, all causes of death [A00-Y89]",1741
2017,Under 1 year,"Total, all causes of death [A00-Y89]",1699
2018,Under 1 year,"Total, all causes of death [A00-Y89]",1750
2000,Under 1 year,Chapter II: Neoplasms [C00-D48],19
2001,Under 1 year,Chapter II: Neoplasms [C00-D48],13
2002,Under 1 year,Chapter II: Neoplasms [C00-D48],13
2003,Under 1 year,Chapter II: Neoplasms [C00-D48],9
2004,Under 1 year,Chapter II: Neoplasms [C00-D48],13
2005,Under 1 year,Chapter II: Neoplasms [C00-D48],9
2006,Under 1 year,Chapter II: Neoplasms [C00-D48],12
2007,Under 1 year,Chapter II: Neoplasms [C00-D48],16
2008,Under 1 year,Chapter II: Neoplasms [C00-D48],13
2009,Under 1 year,Chapter II: Neoplasms [C00-D48],14
2010,Under 1 year,Chapter II: Neoplasms [C00-D48],14
2011,Under 1 year,Chapter II: Neoplasms [C00-D48],9
2012,Under 1 year,Chapter II: Neoplasms [C00-D48],18
2013,Under 1 year,Chapter II: Neoplasms [C00-D48],11
2014,Under 1 year,Chapter II: Neoplasms [C00-D48],13
2015,Under 1 year,Chapter II: Neoplasms [C00-D48],14
2016,Under 1 year,Chapter II: Neoplasms [C00-D48],7
2017,Under 1 year,Chapter II: Neoplasms [C00-D48],9
2018,Under 1 year,Chapter II: Neoplasms [C00-D48],7
2000,Under 1 year,Malignant neoplasms [C00-C97],9
2001,Under 1 year,Malignant neoplasms [C00-C97],7
2002,Under 1 year,Malignant neoplasms [C00-C97],5
2003,Under 1 year,Malignant neoplasms [C00-C97],7
2004,Under 1 year,Malignant neoplasms [C00-C97],8
2005,Under 1 year,Malignant neoplasms [C00-C97],5
